,Country Name,variable,value
5,Albania,1960,
6,Andorra,1960,
14,Austria,1960,935.4604269
17,Belgium,1960,1273.691659
21,Bulgaria,1960,
24,Bosnia and Herzegovina,1960,
25,Belarus,1960,
37,Switzerland,1960,1787.360348
54,Czech Republic,1960,
55,Germany,1960,
58,Denmark,1960,
70,Spain,1960,396.3922533
71,Estonia,1960,
75,Finland,1960,1179.353011
77,France,1960,1334.689512
81,United Kingdom,1960,1397.594803
89,Greece,1960,520.3227443
99,Croatia,1960,
101,Hungary,1960,
111,Ireland,1960,685.6147124
114,Iceland,1960,1414.982269
116,Italy,1960,804.4926233
137,Liechtenstein,1960,
143,Lithuania,1960,
144,Luxembourg,1960,2242.015817
145,Latvia,1960,
149,Monaco,1960,
150,Moldova,1960,
157,North Macedonia,1960,
159,Malta,1960,
162,Montenegro,1960,
176,Netherlands,1960,1068.784587
177,Norway,1960,1441.75566
190,Poland,1960,
194,Portugal,1960,360.4992985
201,Romania,1960,
212,San Marino,1960,
214,Serbia,1960,
222,Slovenia,1960,
223,Sweden,1960,2114.002973
248,Ukraine,1960,
271,Albania,1961,
272,Andorra,1961,
280,Austria,1961,1031.815004
283,Belgium,1961,1350.197673
287,Bulgaria,1961,
290,Bosnia and Herzegovina,1961,
291,Belarus,1961,
303,Switzerland,1961,1971.316323
320,Czech Republic,1961,
321,Germany,1961,
324,Denmark,1961,
336,Spain,1961,450.0532892
337,Estonia,1961,
341,Finland,1961,1327.427224
343,France,1961,1428.046001
347,United Kingdom,1961,1472.385714
355,Greece,1961,590.7800548
365,Croatia,1961,
367,Hungary,1961,
377,Ireland,1961,739.2764064
380,Iceland,1961,1418.12587
382,Italy,1961,887.3367446
403,Liechtenstein,1961,
409,Lithuania,1961,
410,Luxembourg,1961,2222.366366
411,Latvia,1961,
415,Monaco,1961,
416,Moldova,1961,
423,North Macedonia,1961,
425,Malta,1961,
428,Montenegro,1961,
442,Netherlands,1961,1159.392357
443,Norway,1961,1560.324931
456,Poland,1961,
460,Portugal,1961,382.729947
467,Romania,1961,
478,San Marino,1961,
480,Serbia,1961,
488,Slovenia,1961,
489,Sweden,1961,2288.921701
514,Ukraine,1961,
537,Albania,1962,
538,Andorra,1962,
546,Austria,1962,1087.834243
549,Belgium,1962,1438.523233
553,Bulgaria,1962,
556,Bosnia and Herzegovina,1962,
557,Belarus,1962,
569,Switzerland,1962,2131.391652
586,Czech Republic,1962,
587,Germany,1962,
590,Denmark,1962,
602,Spain,1962,520.2061314
603,Estonia,1962,
607,Finland,1962,1411.702398
609,France,1962,1578.284538
613,United Kingdom,1962,1525.775853
621,Greece,1962,617.0577577
631,Croatia,1962,
633,Hungary,1962,
643,Ireland,1962,797.0062884
646,Iceland,1962,1562.23073
648,Italy,1962,990.2601522
669,Liechtenstein,1962,
