Region,Miami Heat: (6/6/13 - 6/20/13),San Antonio Spurs: (6/6/13 - 6/20/13)
Florida,79%,21%
Texas,42%,58%
Georgia,68%,32%
Illinois,66%,34%
Mississippi,64%,36%
New York,64%,36%
District of Columbia,60%,40%
Hawaii,57%,43%
California,60%,40%
Maryland,61%,39%
Louisiana,59%,41%
Alabama,62%,38%
Oklahoma,53%,47%
Tennessee,61%,39%
New Mexico,56%,44%
South Carolina,64%,36%
Indiana,57%,43%
North Carolina,60%,40%
Ohio,59%,41%
Virginia,60%,40%
Missouri,60%,40%
Colorado,51%,49%
Massachusetts,60%,40%
Nevada,60%,40%
New Jersey,61%,39%
Kentucky,61%,39%
Michigan,63%,37%
Minnesota,61%,39%
Arizona,58%,42%
Wisconsin,62%,38%
Kansas,57%,43%
Connecticut,61%,39%
Delaware,63%,37%
Utah,59%,41%
Nebraska,61%,39%
Wyoming,58%,42%
South Dakota,62%,38%
Vermont,61%,39%
Washington,60%,40%
Arkansas,61%,39%
Iowa,59%,41%
Montana,60%,40%
Pennsylvania,61%,39%
Rhode Island,61%,39%
Maine,59%,41%
Alaska,56%,44%
New Hampshire,63%,37%
West Virginia,64%,36%
North Dakota,59%,41%
Idaho,55%,45%
Oregon,57%,43%
