Region,San Antonio Spurs: (6/5/14 - 6/15/14),Miami Heat: (6/5/14 - 6/15/14)
Florida,17%,83%
Texas,65%,35%
Georgia,40%,60%
Mississippi,41%,59%
Louisiana,43%,57%
Oklahoma,46%,54%
Hawaii,48%,52%
Alabama,38%,62%
South Carolina,38%,62%
Illinois,43%,57%
Kansas,50%,50%
Ohio,37%,63%
Indiana,42%,58%
North Carolina,40%,60%
Missouri,41%,59%
New York,38%,62%
Arkansas,43%,57%
Michigan,35%,65%
Tennessee,43%,57%
New Mexico,53%,47%
Nebraska,43%,57%
Delaware,37%,63%
Maryland,39%,61%
New Jersey,39%,61%
California,41%,59%
Nevada,47%,53%
Kentucky,40%,60%
Virginia,40%,60%
Colorado,45%,55%
Arizona,45%,55%
Massachusetts,41%,59%
District of Columbia,46%,54%
Pennsylvania,37%,63%
Alaska,41%,59%
West Virginia,40%,60%
Rhode Island,37%,63%
South Dakota,40%,60%
Minnesota,42%,58%
Washington,44%,56%
Wisconsin,40%,60%
Wyoming,47%,53%
Utah,45%,55%
Connecticut,40%,60%
North Dakota,49%,51%
Iowa,46%,54%
Maine,42%,58%
Montana,44%,56%
New Hampshire,40%,60%
Idaho,52%,48%
Vermont,40%,60%
Oregon,45%,55%
