Region,Milwaukee Bucks: (7/6/21 - 7/20/21),Phoenix Suns: (7/6/21 - 7/20/21)
Wisconsin,93%,7%
Arizona,14%,86%
New Mexico,33%,67%
Illinois,61%,39%
Iowa,61%,39%
California,43%,57%
Utah,42%,58%
Nevada,43%,57%
Georgia,47%,53%
Texas,45%,55%
Minnesota,60%,40%
Hawaii,47%,53%
Mississippi,46%,54%
Colorado,48%,52%
Nebraska,47%,53%
Idaho,38%,62%
North Dakota,51%,49%
Alabama,48%,52%
Kentucky,43%,57%
Wyoming,46%,54%
District of Columbia,48%,52%
Indiana,48%,52%
Alaska,47%,53%
Louisiana,47%,53%
South Dakota,49%,51%
Oklahoma,45%,55%
Montana,45%,55%
Florida,49%,51%
Delaware,48%,52%
West Virginia,41%,59%
Pennsylvania,45%,55%
Oregon,43%,57%
New York,47%,53%
North Carolina,45%,55%
Ohio,45%,55%
South Carolina,49%,51%
Arkansas,50%,50%
New Jersey,47%,53%
Maryland,48%,52%
Massachusetts,48%,52%
Michigan,50%,50%
Kansas,46%,54%
Tennessee,49%,51%
Connecticut,48%,52%
New Hampshire,49%,51%
Virginia,48%,52%
Missouri,48%,52%
Vermont,47%,53%
Maine,48%,52%
Washington,46%,54%
Rhode Island,49%,51%
