Region,Los Angeles Lakers: (6/3/10 - 6/17/10),Boston Celtics: (6/3/10 - 6/17/10)
New Hampshire,18%,82%
Massachusetts,27%,73%
Rhode Island,28%,72%
Maine,22%,78%
California,77%,23%
Vermont,51%,49%
Hawaii,56%,44%
Nevada,62%,38%
Connecticut,33%,67%
North Dakota,29%,71%
Arizona,60%,40%
Arkansas,64%,36%
Utah,55%,45%
New Mexico,44%,56%
Alabama,44%,56%
Wyoming,50%,50%
Texas,59%,41%
District of Columbia,56%,44%
Washington,57%,43%
Mississippi,48%,52%
Maryland,53%,47%
New York,49%,51%
Virginia,53%,47%
Alaska,55%,45%
Colorado,56%,44%
Georgia,51%,49%
Idaho,66%,34%
Oregon,55%,45%
New Jersey,47%,53%
South Carolina,47%,53%
Missouri,53%,47%
Tennessee,49%,51%
Louisiana,50%,50%
Florida,52%,48%
Illinois,54%,46%
Montana,46%,54%
North Carolina,50%,50%
Kansas,54%,46%
West Virginia,56%,44%
Oklahoma,54%,46%
Michigan,55%,45%
Minnesota,48%,52%
Nebraska,50%,50%
Kentucky,51%,49%
Delaware,52%,48%
Pennsylvania,50%,50%
Indiana,51%,49%
Ohio,52%,48%
South Dakota,63%,37%
Iowa,58%,42%
Wisconsin,47%,53%
