Region,Dallas Mavericks: (5/31/11 - 6/12/11),Miami Heat: (5/31/11 - 6/12/11)
Texas,77%,23%
Florida,20%,80%
Georgia,42%,58%
Illinois,46%,54%
Oklahoma,57%,43%
Ohio,45%,55%
District of Columbia,48%,52%
New York,46%,54%
Mississippi,38%,62%
Hawaii,48%,52%
Michigan,45%,55%
North Carolina,42%,58%
California,50%,50%
Massachusetts,46%,54%
Virginia,44%,56%
Arkansas,52%,48%
Alabama,43%,57%
Minnesota,47%,53%
Colorado,56%,44%
Maryland,45%,55%
South Carolina,43%,57%
Louisiana,51%,49%
Washington,48%,52%
Nevada,48%,52%
Nebraska,51%,49%
Pennsylvania,45%,55%
Kentucky,41%,59%
New Jersey,47%,53%
Indiana,49%,51%
Arizona,48%,52%
Tennessee,49%,51%
Delaware,40%,60%
Missouri,45%,55%
Kansas,51%,49%
Maine,50%,50%
Montana,46%,54%
Wisconsin,42%,58%
Vermont,44%,56%
Wyoming,75%,25%
Utah,48%,52%
New Mexico,51%,49%
Rhode Island,53%,47%
Idaho,43%,57%
Iowa,53%,47%
Connecticut,48%,52%
Oregon,48%,52%
Alaska,53%,47%
New Hampshire,49%,51%
South Dakota,43%,57%
West Virginia,35%,65%
North Dakota,45%,55%
