Region,Golden State Warriors: (6/4/15 - 6/16/15),Cleveland Cavaliers: (6/4/15 - 6/16/15)
Ohio,12%,88%
California,75%,25%
Washington,78%,22%
Nevada,64%,36%
Michigan,39%,61%
Hawaii,59%,41%
Texas,52%,48%
Illinois,49%,51%
District of Columbia,53%,47%
Pennsylvania,38%,62%
Oklahoma,53%,47%
Indiana,42%,58%
Kentucky,50%,50%
Florida,53%,47%
New York,50%,50%
South Carolina,49%,51%
Georgia,50%,50%
New Mexico,57%,43%
Oregon,65%,35%
Tennessee,49%,51%
Louisiana,54%,46%
Arizona,55%,45%
West Virginia,44%,56%
Mississippi,49%,51%
North Carolina,50%,50%
Alabama,50%,50%
Utah,57%,43%
South Dakota,56%,44%
Massachusetts,53%,47%
Maryland,48%,52%
New Jersey,48%,52%
Delaware,48%,52%
Iowa,52%,48%
Nebraska,51%,49%
Missouri,50%,50%
Kansas,52%,48%
Arkansas,52%,48%
Colorado,50%,50%
Wisconsin,50%,50%
Connecticut,52%,48%
Wyoming,54%,46%
Rhode Island,53%,47%
Idaho,55%,45%
Alaska,56%,44%
Minnesota,50%,50%
New Hampshire,54%,46%
North Dakota,49%,51%
Maine,49%,51%
Montana,52%,48%
Vermont,45%,55%
Virginia,49%,51%
