Region,Cleveland Cavaliers: (6/2/16 - 6/19/16),Golden State Warriors: (6/2/16 - 6/19/16)
Ohio,83%,17%
California,18%,82%
Hawaii,36%,64%
Texas,40%,60%
Georgia,43%,57%
Illinois,41%,59%
Nevada,37%,63%
North Carolina,42%,58%
Florida,45%,55%
Michigan,51%,49%
Mississippi,41%,59%
New York,43%,57%
Arizona,35%,65%
Washington,29%,71%
Alabama,43%,57%
New Jersey,42%,58%
New Mexico,37%,63%
District of Columbia,44%,56%
Arkansas,40%,60%
Louisiana,43%,57%
Oklahoma,45%,55%
Nebraska,40%,60%
South Carolina,45%,55%
Virginia,42%,58%
Pennsylvania,51%,49%
Massachusetts,43%,57%
Maryland,41%,59%
Tennessee,41%,59%
Oregon,37%,63%
Utah,38%,62%
Alaska,40%,60%
Delaware,44%,56%
South Dakota,41%,59%
Montana,38%,62%
Indiana,44%,56%
Idaho,37%,63%
Colorado,39%,61%
Iowa,42%,58%
Wyoming,37%,63%
West Virginia,52%,48%
North Dakota,41%,59%
Kentucky,48%,52%
Rhode Island,44%,56%
Connecticut,44%,56%
Missouri,43%,57%
Wisconsin,44%,56%
Maine,42%,58%
Kansas,41%,59%
Vermont,41%,59%
Minnesota,43%,57%
New Hampshire,42%,58%
