Region,Los Angeles Lakers: (9/30/20 - 10/11/20),Miami Heat: (9/30/20 - 10/11/20)
California,82%,18%
Florida,38%,62%
Hawaii,67%,33%
Nevada,71%,29%
Georgia,66%,34%
Ohio,75%,25%
New Mexico,71%,29%
Mississippi,66%,34%
Texas,67%,33%
Illinois,65%,35%
North Carolina,68%,32%
District of Columbia,62%,38%
Rhode Island,68%,32%
Alabama,61%,39%
Arkansas,65%,35%
Arizona,69%,31%
Pennsylvania,70%,30%
Louisiana,65%,35%
New Jersey,69%,31%
Delaware,67%,33%
Virginia,69%,31%
Massachusetts,68%,32%
Maryland,64%,36%
South Carolina,60%,40%
New York,64%,36%
Iowa,66%,34%
Kentucky,62%,38%
Connecticut,64%,36%
Nebraska,65%,35%
Wyoming,71%,29%
Utah,66%,34%
South Dakota,63%,37%
Colorado,63%,37%
Alaska,62%,38%
Oregon,66%,34%
Indiana,62%,38%
West Virginia,67%,33%
Tennessee,63%,37%
Michigan,65%,35%
Oklahoma,64%,36%
Kansas,66%,34%
Missouri,64%,36%
Wisconsin,61%,39%
New Hampshire,62%,38%
North Dakota,64%,36%
Washington,67%,33%
Idaho,67%,33%
Minnesota,64%,36%
Maine,65%,35%
Montana,69%,31%
Vermont,66%,34%
