,state,team1,team2,year,topsearch,winner
0,New Hampshire,18.0,82.0,2010,Boston Celtics,Los Angeles Lakers
1,Massachusetts,27.0,73.0,2010,Boston Celtics,Los Angeles Lakers
2,Rhode Island,28.0,72.0,2010,Boston Celtics,Los Angeles Lakers
3,Maine,22.0,78.0,2010,Boston Celtics,Los Angeles Lakers
4,California,77.0,23.0,2010,Los Angeles Lakers,Los Angeles Lakers
5,Vermont,51.0,49.0,2010,Los Angeles Lakers,Los Angeles Lakers
6,Hawaii,56.0,44.0,2010,Los Angeles Lakers,Los Angeles Lakers
7,Nevada,62.0,38.0,2010,Los Angeles Lakers,Los Angeles Lakers
8,Connecticut,33.0,67.0,2010,Boston Celtics,Los Angeles Lakers
9,North Dakota,29.0,71.0,2010,Boston Celtics,Los Angeles Lakers
10,Arizona,60.0,40.0,2010,Los Angeles Lakers,Los Angeles Lakers
11,Arkansas,64.0,36.0,2010,Los Angeles Lakers,Los Angeles Lakers
12,Utah,55.0,45.0,2010,Los Angeles Lakers,Los Angeles Lakers
13,New Mexico,44.0,56.0,2010,Boston Celtics,Los Angeles Lakers
14,Alabama,44.0,56.0,2010,Boston Celtics,Los Angeles Lakers
15,Wyoming,50.0,50.0,2010,Los Angeles Lakers,Los Angeles Lakers
16,Texas,59.0,41.0,2010,Los Angeles Lakers,Los Angeles Lakers
17,District of Columbia,56.0,44.0,2010,Los Angeles Lakers,Los Angeles Lakers
18,Washington,57.0,43.0,2010,Los Angeles Lakers,Los Angeles Lakers
19,Mississippi,48.0,52.0,2010,Boston Celtics,Los Angeles Lakers
20,Maryland,53.0,47.0,2010,Los Angeles Lakers,Los Angeles Lakers
21,New York,49.0,51.0,2010,Boston Celtics,Los Angeles Lakers
22,Virginia,53.0,47.0,2010,Los Angeles Lakers,Los Angeles Lakers
23,Alaska,55.0,45.0,2010,Los Angeles Lakers,Los Angeles Lakers
24,Colorado,56.0,44.0,2010,Los Angeles Lakers,Los Angeles Lakers
25,Georgia,51.0,49.0,2010,Los Angeles Lakers,Los Angeles Lakers
26,Idaho,66.0,34.0,2010,Los Angeles Lakers,Los Angeles Lakers
27,Oregon,55.0,45.0,2010,Los Angeles Lakers,Los Angeles Lakers
28,New Jersey,47.0,53.0,2010,Boston Celtics,Los Angeles Lakers
29,South Carolina,47.0,53.0,2010,Boston Celtics,Los Angeles Lakers
30,Missouri,53.0,47.0,2010,Los Angeles Lakers,Los Angeles Lakers
31,Tennessee,49.0,51.0,2010,Boston Celtics,Los Angeles Lakers
32,Louisiana,50.0,50.0,2010,Los Angeles Lakers,Los Angeles Lakers
33,Florida,52.0,48.0,2010,Los Angeles Lakers,Los Angeles Lakers
34,Illinois,54.0,46.0,2010,Los Angeles Lakers,Los Angeles Lakers
35,Montana,46.0,54.0,2010,Boston Celtics,Los Angeles Lakers
36,North Carolina,50.0,50.0,2010,Los Angeles Lakers,Los Angeles Lakers
37,Kansas,54.0,46.0,2010,Los Angeles Lakers,Los Angeles Lakers
38,West Virginia,56.0,44.0,2010,Los Angeles Lakers,Los Angeles Lakers
39,Oklahoma,54.0,46.0,2010,Los Angeles Lakers,Los Angeles Lakers
40,Michigan,55.0,45.0,2010,Los Angeles Lakers,Los Angeles Lakers
41,Minnesota,48.0,52.0,2010,Boston Celtics,Los Angeles Lakers
